# TOTAL_GENES = 11758
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x94          COVAR   11758    -0.077246    -0.095546     0.045256      0.95606
x95          COVAR   11758    -0.027375    -0.036634     0.030362      0.81637
x96          COVAR   11758    0.0046545    0.0056738      0.04346      0.45736
x97          COVAR   11758     0.010294     0.013654     0.026931      0.35115
x98          COVAR   11758    -0.043187    -0.054831      0.03582      0.88601
x99          COVAR   11758    -0.058534    -0.075265     0.033897      0.95789
x100         COVAR   11758    -0.044929    -0.057737     0.037415      0.88508
x101         COVAR   11758    -0.026756    -0.032891     0.042238      0.73678
x102         COVAR   11758      -0.0248    -0.031642     0.030804      0.78961
x103         COVAR   11758     0.022065     0.027966     0.032559      0.24899
x104         COVAR   11758   -0.0032682   -0.0044892     0.029783      0.54369
x105         COVAR   11758    0.0066561    0.0084991     0.037604      0.42975
x106         COVAR   11758     0.018992     0.024008      0.03864      0.31153
x107         COVAR   11758    -0.083517     -0.10966     0.036942       0.9881
x108         COVAR   11758     0.028856     0.038254     0.025422      0.12819
x109         COVAR   11758    -0.025766    -0.033929     0.029915      0.80546
x110         COVAR   11758      0.12925      0.16507      0.03371   6.3338e-05
x111         COVAR   11758    -0.041998    -0.052215     0.040928      0.84758
x112         COVAR   11758     0.017888     0.022061     0.043885      0.34178
x113         COVAR   11758     0.055014     0.070574     0.033048     0.048002
x114         COVAR   11758    -0.041865    -0.052007     0.043776      0.83054
x115         COVAR   11758    -0.081191     -0.10535     0.038595      0.98229
x116         COVAR   11758     0.060888     0.079507     0.034127     0.037212
x117         COVAR   11758    -0.086761     -0.11085     0.038483      0.98791
x118         COVAR   11758    -0.073088    -0.092026     0.039494      0.96788
x119         COVAR   11758    -0.076186         -0.1     0.037155      0.97983
x120         COVAR   11758    0.0094656     0.011864      0.03311      0.38748
x121         COVAR   11758    -0.039211    -0.050432     0.037357      0.85304
x122         COVAR   11758     -0.07472    -0.096953     0.036414       0.9799
x123         COVAR   11758     0.013776     0.017437     0.035643      0.34956
x124         COVAR   11758    -0.051865    -0.067085     0.038686      0.90997
x125         COVAR   11758    -0.029095    -0.036358     0.042078      0.75535
x126         COVAR   11758    0.0086073     0.010648     0.039449      0.41364
x127         COVAR   11758     0.050829     0.064923     0.030223     0.046317
x128         COVAR   11758    -0.020167    -0.024882     0.045436      0.67142
x129         COVAR   11758    -0.032391    -0.039688     0.043956       0.7694
x130         COVAR   11758    -0.035008    -0.045299     0.033833      0.84959
x131         COVAR   11758    -0.021431    -0.027404      0.03895      0.70891
x132         COVAR   11758    -0.014117    -0.018875     0.029156      0.68587
x133         COVAR   11758     0.038023     0.048321     0.036258      0.14717
x134         COVAR   11758    -0.040811     -0.05076     0.045947      0.81278
x135         COVAR   11758     0.022962     0.029151     0.032797      0.24193
x136         COVAR   11758    -0.010787    -0.013746     0.036909      0.61495
x137         COVAR   11758     0.026344     0.033855     0.027338      0.16762
x138         COVAR   11758      0.11474      0.14287     0.035326   0.00058295
x139         COVAR   11758     0.052295      0.06555     0.039919     0.095104
x140         COVAR   11758     0.026529     0.032784     0.041693      0.26229
x141         COVAR   11758    -0.050701    -0.067316     0.033794      0.93322
x142         COVAR   11758     0.033081     0.040529     0.039864      0.20332
x143         COVAR   11758    -0.024695    -0.030474     0.044323      0.71128
x144         COVAR   11758     0.037268     0.046968     0.041222      0.18299
x145         COVAR   11758     -0.13907     -0.18176     0.040034      0.99974
x146         COVAR   11758    -0.094641     -0.11979     0.037871      0.99377
x147         COVAR   11758    -0.063203    -0.077901     0.046274      0.91399
x148         COVAR   11758      0.10224      0.12753      0.03533    0.0019074
x149         COVAR   11758      0.09335      0.11989     0.029462   0.00076825
x150         COVAR   11758     0.057581       0.0688     0.042549     0.087992
x151         COVAR   11758   -0.0058406   -0.0076849      0.03262      0.57105
x152         COVAR   11758    -0.023978    -0.029715     0.039068       0.7303
