# TOTAL_GENES = 11174
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x1           COVAR   11174     0.012277     0.014335     0.052304      0.40721
x2           COVAR   11174     0.016435     0.021237     0.024312      0.24952
x3           COVAR   11174     0.010536     0.012699      0.04197      0.40089
x4           COVAR   11174    -0.023376    -0.028238     0.040132      0.71987
x5           COVAR   11174      0.03817      0.04517       0.0393      0.16573
x6           COVAR   11174      0.14756      0.17254     0.041606   0.00019597
x7           COVAR   11174   -0.0068539   -0.0082074      0.03974      0.56846
x8           COVAR   11174    -0.013456    -0.015657     0.045065      0.61737
x9           COVAR   11174    -0.081549    -0.099953     0.044154      0.96761
x10          COVAR   11174     0.014477     0.017543     0.040654      0.36088
x11          COVAR   11174     0.015552     0.019165     0.031421      0.31032
x12          COVAR   11174    0.0037499    0.0044403     0.042268      0.46465
x13          COVAR   11174     0.048457     0.059258     0.030045     0.053406
x14          COVAR   11174    0.0026417    0.0031958     0.042639       0.4753
x15          COVAR   11174    -0.043055     -0.05065     0.041894      0.84795
x16          COVAR   11174     0.022283     0.026547     0.035748      0.26654
x17          COVAR   11174     0.040081     0.046772     0.053665      0.22758
x18          COVAR   11174    -0.073319    -0.089078     0.048191      0.93591
x19          COVAR   11174     -0.17598     -0.20909     0.052085      0.99963
x20          COVAR   11174     0.057011     0.068039     0.037661     0.065055
x21          COVAR   11174  -0.00045988  -0.00053323     0.050661      0.50362
x22          COVAR   11174     0.059674     0.072593     0.038819      0.06213
x23          COVAR   11174     0.016836     0.020552     0.038794      0.33215
x24          COVAR   11174     0.026044     0.032862     0.028476      0.18022
x25          COVAR   11174     0.050725     0.061388     0.041253      0.10944
x26          COVAR   11174     0.060436     0.073367     0.036001     0.046618
x27          COVAR   11174   -0.0096851    -0.012418     0.032596      0.61681
x28          COVAR   11174     0.060055     0.070215      0.05207       0.1244
x29          COVAR   11174    -0.029383    -0.035048     0.044826      0.74392
x30          COVAR   11174    -0.014233    -0.016813      0.04707      0.61882
x31          COVAR   11174    -0.012818    -0.015436     0.043827      0.61503
x32          COVAR   11174    -0.042685    -0.051327     0.042633      0.84163
x33          COVAR   11174     0.036337     0.044264     0.031339      0.12314
x34          COVAR   11174     0.049056      0.05843     0.035809     0.085368
x35          COVAR   11174    -0.096667     -0.11607     0.041343       0.9903
x36          COVAR   11174   -0.0084259   -0.0099336     0.047333      0.57064
x37          COVAR   11174    -0.015902    -0.018976     0.043993      0.64112
x38          COVAR   11174     -0.14845     -0.18031     0.045083       0.9995
x39          COVAR   11174     0.021557     0.026853     0.027767      0.21878
x40          COVAR   11174    -0.053857    -0.066036     0.039162      0.91546
x41          COVAR   11174     0.029061     0.034264     0.039659      0.23186
x42          COVAR   11174    -0.057695     -0.07039     0.037763      0.93671
x43          COVAR   11174       0.0043    0.0050941      0.03906      0.45617
x44          COVAR   11174     -0.14733     -0.17592     0.046259      0.99927
x45          COVAR   11174    -0.016081    -0.019078     0.044897      0.63989
x46          COVAR   11174     0.011076     0.013779     0.032584      0.36696
x47          COVAR   11174    -0.032717    -0.038086     0.045804      0.76247
x48          COVAR   11174   -0.0068016   -0.0081967     0.033816       0.5797
x49          COVAR   11174      0.10397      0.12512     0.040066    0.0047367
x50          COVAR   11174    -0.013416    -0.015637     0.048506      0.60895
x51          COVAR   11174     0.033736     0.039706     0.037189      0.18218
x52          COVAR   11174     0.070446     0.083572     0.035556     0.023792
