# TOTAL_GENES = 11133
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x1           COVAR   11133     0.029886     0.040139     0.025352      0.11924
x2           COVAR   11133     -0.12977     -0.16608     0.050472      0.99492
x3           COVAR   11133     0.072371     0.095659     0.030454    0.0087492
x4           COVAR   11133    -0.028693    -0.037736     0.038095      0.77432
x5           COVAR   11133    -0.026721    -0.034211      0.04325      0.73165
x6           COVAR   11133    -0.017904     -0.02251     0.035267      0.69415
x7           COVAR   11133     0.011236      0.01389     0.044777      0.40093
x8           COVAR   11133     0.013812     0.017875      0.03447      0.34433
x9           COVAR   11133    -0.087463     -0.11129     0.042978      0.97907
x10          COVAR   11133     0.048341     0.066179      0.02232     0.015175
x11          COVAR   11133    -0.034322     -0.04455     0.039055      0.81024
x12          COVAR   11133     0.045676     0.057931     0.039789      0.12551
x13          COVAR   11133       0.0618     0.078646     0.032075     0.027017
x14          COVAR   11133      -0.0235    -0.030932     0.036706      0.73898
x15          COVAR   11133    -0.029609     -0.03799      0.03856      0.77871
x16          COVAR   11133     0.016772     0.021905     0.036363      0.32232
x17          COVAR   11133    -0.022553    -0.028983     0.040818       0.7097
x18          COVAR   11133     0.021108     0.026149      0.04716      0.32723
x19          COVAR   11133   -0.0087501    -0.011708     0.036755      0.59408
x20          COVAR   11133   -0.0075763   -0.0099322     0.037618       0.5798
x21          COVAR   11133     0.016547     0.021181     0.029309      0.28619
x22          COVAR   11133     -0.11371     -0.14972     0.042426      0.99632
x23          COVAR   11133    -0.080956     -0.10797     0.037973      0.98348
x24          COVAR   11133     0.026038     0.033351     0.038371      0.24871
x25          COVAR   11133   -0.0036443   -0.0045775     0.044055      0.53296
x26          COVAR   11133    -0.019315    -0.024298      0.03606      0.70389
x27          COVAR   11133    -0.046637     -0.05912     0.041592      0.86891
x28          COVAR   11133     0.048328     0.059132     0.050412      0.16888
x29          COVAR   11133     0.076184     0.094452     0.047832     0.055624
x30          COVAR   11133     0.067058     0.086349     0.034792     0.026978
x31          COVAR   11133    -0.085843     -0.11387     0.038102      0.98786
x32          COVAR   11133    -0.076554    -0.097373      0.04198      0.96588
x33          COVAR   11133    -0.012339    -0.015686     0.041044      0.61815
x34          COVAR   11133     0.061968     0.076833     0.043089     0.075211
x35          COVAR   11133    -0.017112    -0.021676     0.039755      0.66655
x36          COVAR   11133    -0.022007    -0.027625     0.048947       0.6735
x37          COVAR   11133     0.026483     0.033957     0.042064      0.26449
x38          COVAR   11133    -0.027167    -0.034712     0.040719      0.74767
x39          COVAR   11133     0.023597     0.029838     0.033591       0.2412
x40          COVAR   11133     -0.11193     -0.14757     0.039969      0.99744
x41          COVAR   11133     0.027249     0.034749     0.037446      0.23341
x42          COVAR   11133    0.0041604    0.0055907     0.031389      0.44728
x43          COVAR   11133    -0.027233    -0.034946     0.041375      0.74479
x44          COVAR   11133       0.0216     0.026911     0.040571      0.29723
x45          COVAR   11133      0.03668     0.046487     0.041233      0.18686
x46          COVAR   11133   -0.0049156   -0.0061513     0.033512      0.55831
x47          COVAR   11133     0.023094     0.030737     0.033273      0.24382
x48          COVAR   11133    -0.085387      -0.1095     0.045514      0.96966
x49          COVAR   11133   -0.0063218   -0.0082144     0.026753       0.5934
x50          COVAR   11133     0.020214     0.025144     0.036883      0.29183
x51          COVAR   11133     0.047023     0.060211     0.035337     0.091662
x52          COVAR   11133    -0.015502    -0.021097      0.03124      0.69012
x53          COVAR   11133     0.036806     0.047278     0.042026      0.19058
x54          COVAR   11133   -0.0051917   -0.0069336     0.028012      0.57352
x55          COVAR   11133     0.024589     0.031558     0.035641      0.24513
x56          COVAR   11133     -0.03185    -0.041221     0.039633      0.78918
x57          COVAR   11133     0.043538     0.056347     0.037759      0.12446
x58          COVAR   11133     0.022171     0.029515     0.024908      0.18671
x59          COVAR   11133    -0.070447    -0.094051     0.036397      0.97352
x60          COVAR   11133      0.07381     0.094712      0.04122      0.03669
x61          COVAR   11133    -0.034974    -0.043687     0.045635      0.77827
x62          COVAR   11133    0.0092955     0.011764     0.036392       0.3992
x63          COVAR   11133   -0.0053115    -0.006733     0.042908      0.54926
x64          COVAR   11133      0.03864     0.050853     0.036486       0.1448
x65          COVAR   11133    -0.041651    -0.053795      0.03835      0.86126
x66          COVAR   11133     -0.09026     -0.11511     0.042071      0.98403
x67          COVAR   11133    -0.024502      -0.0305     0.041916      0.72057
x68          COVAR   11133     0.009148     0.011306      0.03764      0.40399
x69          COVAR   11133     0.065032      0.08476     0.031791     0.020409
x70          COVAR   11133   -0.0068388   -0.0085564     0.042179       0.5644
x71          COVAR   11133     0.041402     0.053854     0.038226       0.1394
x72          COVAR   11133    0.0035598    0.0045502     0.031987      0.45569
x73          COVAR   11133     0.050359     0.064023     0.038989     0.098257
x74          COVAR   11133      0.10641      0.13441     0.032814   0.00059334
x75          COVAR   11133     -0.13447     -0.17349     0.047007      0.99788
x76          COVAR   11133     0.003177    0.0038865     0.044613      0.47161
x77          COVAR   11133    -0.010261    -0.013457     0.036352      0.61113
x78          COVAR   11133     0.041193     0.052408     0.042864      0.16828
x79          COVAR   11133    -0.022308    -0.029129     0.039457      0.71409
