# TOTAL_GENES = 11740
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x1           COVAR   11740     0.031251     0.040014     0.031252      0.15867
x2           COVAR   11740   -0.0064835    -0.008156     0.036949      0.56964
x3           COVAR   11740     0.030483     0.038631     0.031747      0.16849
x4           COVAR   11740   0.00064706   0.00081905     0.035389      0.49271
x5           COVAR   11740     0.012131     0.014591      0.04902      0.40227
x6           COVAR   11740    -0.078948     -0.10086     0.037509      0.98233
x7           COVAR   11740     0.030638     0.038833     0.033988      0.18369
x8           COVAR   11740     0.022729     0.028974      0.03282      0.24431
x9           COVAR   11740    -0.024469     -0.03078     0.044314      0.70958
x10          COVAR   11740    -0.065284    -0.083876      0.03894      0.95317
x11          COVAR   11740    0.0075918    0.0096195     0.034209      0.41219
x12          COVAR   11740     -0.06442    -0.089537       0.0265      0.99246
x13          COVAR   11740    -0.018491    -0.022819     0.046838       0.6535
x14          COVAR   11740   -0.0094574    -0.012544     0.030043      0.62354
x15          COVAR   11740    -0.026248     -0.03348     0.039488      0.74688
x16          COVAR   11740    -0.027784    -0.035035     0.037839       0.7686
x17          COVAR   11740    -0.010603    -0.013235     0.037021      0.61271
x18          COVAR   11740     0.076885     0.098565     0.033827     0.011525
x19          COVAR   11740   -0.0034524   -0.0043139     0.043509      0.53162
x20          COVAR   11740    -0.024701    -0.032708     0.032979      0.77306
x21          COVAR   11740    -0.011718    -0.015461     0.030829      0.64806
x22          COVAR   11740    -0.040343    -0.049544     0.044967      0.81518
x23          COVAR   11740    -0.053232    -0.066974     0.042204      0.89639
x24          COVAR   11740     0.024413     0.031868     0.030933        0.215
x25          COVAR   11740    -0.040832    -0.052383     0.041676      0.83638
x26          COVAR   11740     0.067708     0.084229     0.045658      0.06906
x27          COVAR   11740   -0.0058836   -0.0076081     0.030616       0.5762
x28          COVAR   11740  -0.00045015  -0.00056491     0.034942      0.50514
x29          COVAR   11740    -0.085354     -0.11059     0.038276      0.98712
x30          COVAR   11740     -0.12682     -0.16745     0.039619      0.99931
x31          COVAR   11740     -0.10865     -0.13821     0.044209        0.993
x32          COVAR   11740      0.06081     0.075809     0.042035     0.074014
x33          COVAR   11740    0.0095967     0.011982     0.035061      0.39216
x34          COVAR   11740     0.045212     0.056292     0.040149      0.13007
x35          COVAR   11740    0.0020176     0.002648     0.029476      0.47271
x36          COVAR   11740    -0.015576    -0.020475      0.03161       0.6889
x37          COVAR   11740     -0.07892       -0.103     0.037299      0.98281
x38          COVAR   11740    -0.024368      -0.0297     0.039498      0.73136
x39          COVAR   11740    -0.047577    -0.059066     0.039553      0.88548
x40          COVAR   11740     0.014044     0.017324     0.045105      0.37776
x41          COVAR   11740     0.082914      0.10375     0.034171    0.0076318
x42          COVAR   11740     -0.12574      -0.1654     0.038684      0.99942
x43          COVAR   11740     0.060437     0.079723     0.030871     0.025142
x44          COVAR   11740    0.0081674     0.010415     0.030665      0.39499
x45          COVAR   11740    -0.031026    -0.038768     0.044975      0.75485
x46          COVAR   11740    -0.075609    -0.095099     0.039059      0.97354
x47          COVAR   11740     0.042689      0.05437     0.034634      0.10888
x48          COVAR   11740    -0.038622      -0.0497     0.036825      0.85285
x49          COVAR   11740      0.10869      0.13612     0.038219    0.0022333
x50          COVAR   11740     0.012045      0.01467     0.047898      0.40072
x51          COVAR   11740    -0.065402      -0.0836     0.039293      0.95198
x52          COVAR   11740      -0.1039     -0.13172     0.041506      0.99384
x53          COVAR   11740     0.037367     0.047791     0.032551      0.12551
x54          COVAR   11740    -0.058121    -0.076158     0.034815      0.95247
x55          COVAR   11740    -0.036598     -0.04607     0.044475      0.79471
x56          COVAR   11740    -0.055269    -0.069718     0.043551      0.89778
x57          COVAR   11740     0.005894    0.0076959     0.027461      0.41503
x58          COVAR   11740     0.011432     0.015169     0.029394      0.34867
x59          COVAR   11740     0.056247     0.067937     0.039013     0.074699
x60          COVAR   11740    -0.072505    -0.095255     0.036733      0.97579
x61          COVAR   11740    0.0097938      0.01245     0.036863      0.39525
x62          COVAR   11740   -0.0029866   -0.0037476     0.043677      0.52726
x63          COVAR   11740    -0.044719    -0.060455     0.031988      0.91893
x64          COVAR   11740   -0.0065113   -0.0081821     0.040926       0.5632
x65          COVAR   11740    0.0053425    0.0065665     0.048049      0.45573
x66          COVAR   11740      0.02365     0.028909     0.035027      0.24979
x67          COVAR   11740    -0.047943    -0.063244      0.03086      0.93984
x68          COVAR   11740     0.030977     0.039944     0.031691      0.16417
x69          COVAR   11740    -0.010599    -0.013962     0.034516       0.6206
x70          COVAR   11740    -0.039939    -0.050483     0.034988      0.87316
x71          COVAR   11740     0.061371     0.077426     0.037579     0.051237
x72          COVAR   11740    -0.011242    -0.014789     0.026697      0.66316
x73          COVAR   11740    -0.089492      -0.1159     0.038102      0.99057
x74          COVAR   11740     -0.13157     -0.16656     0.042304      0.99906
x75          COVAR   11740   -0.0098944    -0.012378     0.034959      0.61142
x76          COVAR   11740    -0.055945    -0.070578     0.040596       0.9159
x77          COVAR   11740    0.0048108     0.006285     0.038144      0.44982
x78          COVAR   11740     -0.08737     -0.11052     0.041127      0.98317
x79          COVAR   11740     -0.13386     -0.17219      0.03905      0.99969
x80          COVAR   11740    -0.013372    -0.016973      0.03572      0.64593
x81          COVAR   11740     0.039531     0.048454     0.046701      0.19866
x82          COVAR   11740     0.021723     0.027325     0.041299      0.29945
x83          COVAR   11740     -0.01152    -0.014576     0.037173      0.62168
x84          COVAR   11740     0.035272     0.045349     0.035442      0.15983
x85          COVAR   11740    -0.085101     -0.10852     0.037348      0.98864
x86          COVAR   11740    -0.077978    -0.099523     0.038667      0.97812
x87          COVAR   11740     0.015452     0.019321     0.036854      0.33751
x88          COVAR   11740    -0.035037    -0.045278      0.03806      0.82135
x89          COVAR   11740     0.050317     0.072046     0.019045    0.0041268
x90          COVAR   11740     0.049271     0.061865     0.032115     0.062503
x91          COVAR   11740    -0.026833    -0.033594     0.042947      0.73394
x92          COVAR   11740    -0.010702    -0.013257     0.044472      0.59508
x93          COVAR   11740    -0.049922    -0.062142     0.047349      0.85412
x94          COVAR   11740   0.00052494     0.000672     0.041861        0.495
x95          COVAR   11740    -0.071498    -0.088273      0.04356      0.94963
x96          COVAR   11740    -0.062044    -0.081129     0.035927       0.9579
x97          COVAR   11740     0.044288     0.055684      0.03788      0.12118
x98          COVAR   11740     -0.10025     -0.12844     0.041357      0.99232
x99          COVAR   11740     0.045391      0.05655     0.045232      0.15782
x100         COVAR   11740     0.029713     0.036676     0.048303      0.26924
x101         COVAR   11740    0.0062405    0.0082384     0.032596      0.42409
x102         COVAR   11740    -0.025158    -0.032302     0.037584      0.74837
x103         COVAR   11740     0.012132       0.0157      0.02811      0.33302
x104         COVAR   11740    -0.064157    -0.080655     0.037753      0.95536
x105         COVAR   11740    -0.073534    -0.094718     0.041841      0.96057
x106         COVAR   11740     0.052339     0.064947     0.041432      0.10326
x107         COVAR   11740     0.029164     0.037006     0.042125      0.24438
x108         COVAR   11740    -0.031436    -0.038895     0.044391      0.76057
x109         COVAR   11740     0.025732       0.0336     0.025403      0.15555
x110         COVAR   11740     0.014402      0.01893     0.029066      0.31013
x111         COVAR   11740     0.031513     0.040564     0.032638      0.16715
x112         COVAR   11740   -0.0043375   -0.0055858     0.034408      0.55016
x113         COVAR   11740      0.01281     0.016618     0.034236      0.35415
x114         COVAR   11740    0.0030225     0.003912     0.035127      0.46572
x115         COVAR   11740   -0.0046428    -0.005795     0.040216      0.54595
x116         COVAR   11740     0.050142     0.063863     0.036261     0.083376
x117         COVAR   11740     -0.06097     -0.07957     0.033544      0.96542
x118         COVAR   11740   -0.0030518   -0.0037131     0.047867      0.52542
x119         COVAR   11740     -0.11015     -0.13934     0.041904      0.99571
x120         COVAR   11740    -0.056653      -0.0714     0.039183      0.92588
x121         COVAR   11740   -0.0060107    -0.007699     0.036198      0.56594
x122         COVAR   11740     0.048514     0.063727     0.027253     0.037542
x123         COVAR   11740    -0.078787    -0.099951     0.038869      0.97866
x124         COVAR   11740    -0.043506    -0.058237     0.030062      0.92607
x125         COVAR   11740     0.051824     0.065757     0.036778     0.079412
x126         COVAR   11740     0.010483     0.013027     0.035197      0.38291
x127         COVAR   11740     0.068814     0.087696     0.036429     0.029459
x128         COVAR   11740    0.0057229     0.007348     0.033271      0.43172
x129         COVAR   11740    -0.090024     -0.11799     0.039008      0.98949
x130         COVAR   11740    -0.010657    -0.013564     0.040828      0.60297
x131         COVAR   11740    -0.040216     -0.04975     0.041484      0.83382
x132         COVAR   11740     0.014924      0.01897     0.036935      0.34309
x133         COVAR   11740     0.060807     0.073642     0.051474      0.11875
x134         COVAR   11740     0.014621     0.018736     0.036095      0.34272
x135         COVAR   11740    -0.093327     -0.11877     0.040611      0.98921
x136         COVAR   11740    -0.010266    -0.013434     0.031417      0.62807
x137         COVAR   11740    -0.017382    -0.022941     0.032764      0.70212
x138         COVAR   11740     0.008225     0.010092     0.040348      0.41924
x139         COVAR   11740     -0.11379     -0.14491     0.037622      0.99875
x140         COVAR   11740    -0.003455   -0.0044796     0.032723      0.54204
x141         COVAR   11740     -0.11556     -0.14852     0.039085      0.99844
x142         COVAR   11740    -0.034124    -0.041974     0.044778      0.77698
x143         COVAR   11740     -0.01463     -0.01905     0.029566      0.68963
x144         COVAR   11740   -0.0085006    -0.010598     0.045835      0.57357
x145         COVAR   11740     0.029746     0.038385     0.035845      0.20332
x146         COVAR   11740     0.027788     0.035196     0.035439       0.2165
x147         COVAR   11740    -0.046814    -0.057755     0.044742      0.85228
x148         COVAR   11740     0.011336     0.014488     0.038627      0.38459
x149         COVAR   11740      0.07034     0.088348     0.033601     0.018169
x150         COVAR   11740     0.020164     0.026184     0.032386      0.26677
x151         COVAR   11740   -0.0094455    -0.011824      0.04035      0.59254
x152         COVAR   11740      0.14321      0.17364     0.041673   0.00029561
x153         COVAR   11740    -0.089216     -0.11278     0.039404      0.98821
x154         COVAR   11740      0.11321        0.145     0.032648   0.00026371
x155         COVAR   11740     0.025759     0.032787     0.033031      0.21775
x156         COVAR   11740    -0.024784    -0.030957     0.042517      0.72002
x157         COVAR   11740   0.00088775    0.0011188     0.036931      0.49041
x158         COVAR   11740       0.0155     0.019334     0.041343      0.35386
x159         COVAR   11740     -0.12016     -0.15831     0.038842      0.99901
x160         COVAR   11740    -0.015803    -0.019965     0.033842      0.67973
x161         COVAR   11740    -0.013986    -0.016831     0.043942      0.62487
x162         COVAR   11740    -0.034003    -0.044216     0.033722      0.84335
x163         COVAR   11740     0.053226     0.067061     0.037621     0.078579
x164         COVAR   11740     0.092481      0.11333     0.044699     0.019286
x165         COVAR   11740    -0.067392    -0.085524     0.038648      0.95938
x166         COVAR   11740     0.075236     0.093328     0.040604      0.03196
x167         COVAR   11740    -0.041781    -0.053321     0.040008      0.85182
x168         COVAR   11740   -0.0020168   -0.0025794     0.035756      0.52249
x169         COVAR   11740    -0.059794    -0.076405     0.037555      0.94431
x170         COVAR   11740    0.0033254      0.00419     0.033003      0.45987
x171         COVAR   11740    -0.048372    -0.062205     0.036296      0.90868
x172         COVAR   11740    -0.026908    -0.036956     0.029286      0.82089
x173         COVAR   11740     0.035082     0.045017     0.033865      0.15013
x174         COVAR   11740   -0.0035549   -0.0044447     0.036228      0.53908
x175         COVAR   11740     0.078452     0.096256     0.036564     0.015962
x176         COVAR   11740    -0.011155     -0.01393      0.03681      0.61907
x177         COVAR   11740     0.045792     0.060224      0.02717     0.045973
x178         COVAR   11740     0.015133     0.019451     0.028892      0.30023
x179         COVAR   11740      0.06695      0.08575     0.033969     0.024379
x180         COVAR   11740    -0.019505    -0.024955     0.035633      0.70794
x181         COVAR   11740    -0.028801    -0.038545     0.031982      0.81607
x182         COVAR   11740     0.052376     0.063019     0.039287      0.09125
x183         COVAR   11740     0.022931     0.030267     0.027827      0.20496
x184         COVAR   11740     -0.10242     -0.12904     0.039751        0.995
x185         COVAR   11740    -0.033336    -0.042977     0.038315      0.80785
x186         COVAR   11740     0.048209     0.058827     0.045563      0.14502
x187         COVAR   11740    -0.057496    -0.071846     0.041109      0.91902
x188         COVAR   11740    -0.083741     -0.10452     0.043502      0.97287
x189         COVAR   11740     0.039256     0.053596     0.023878     0.050099
x190         COVAR   11740    -0.035039    -0.045508     0.036092      0.83417
x191         COVAR   11740    -0.024671    -0.030444     0.045286      0.70704
x192         COVAR   11740    -0.061138    -0.075896     0.046721      0.90465
x193         COVAR   11740     0.045373     0.057091     0.038838      0.12136
x194         COVAR   11740     -0.01371    -0.017908     0.034711      0.65357
x195         COVAR   11740    -0.019622    -0.025008     0.040189       0.6873
x196         COVAR   11740     0.005287     0.006473     0.044884      0.45312
x197         COVAR   11740    -0.051527    -0.064443     0.037236      0.91678
x198         COVAR   11740     0.057585     0.074406     0.034318     0.046692
x199         COVAR   11740   -0.0018764   -0.0024116     0.034234      0.52185
x200         COVAR   11740    -0.050853    -0.065392     0.041769      0.88828
x201         COVAR   11740      0.06093       0.0765     0.041997     0.073431
x202         COVAR   11740    -0.020636    -0.026998      0.03572      0.71827
x203         COVAR   11740     0.027095     0.034359      0.03114      0.19213
x204         COVAR   11740     0.014578      0.01864     0.036477      0.34471
x205         COVAR   11740     0.025029      0.03284     0.024934      0.15774
x206         COVAR   11740     -0.01143      -0.0139     0.046147      0.59781
x207         COVAR   11740     0.034499     0.041637     0.041451      0.20264
x208         COVAR   11740    0.0099517     0.013118     0.025471      0.34801
x209         COVAR   11740    -0.011085    -0.014905      0.02911      0.64831
x210         COVAR   11740     0.051774     0.062659     0.037616     0.084367
x211         COVAR   11740    -0.035013    -0.044712     0.037405      0.82536
x212         COVAR   11740    -0.051234      -0.0679     0.030153      0.95534
x213         COVAR   11740     0.069523     0.088934     0.031589     0.013884
x214         COVAR   11740  -6.1047e-05  -7.7195e-05     0.039614      0.50061
x215         COVAR   11740    -0.037835    -0.048612      0.03551      0.85666
x216         COVAR   11740      0.02279     0.028468      0.04032      0.28596
x217         COVAR   11740      -0.0273    -0.033999     0.041166      0.74639
x218         COVAR   11740   0.00074226    0.0009527     0.033766      0.49123
x219         COVAR   11740    -0.038248    -0.049881     0.032005      0.88396
x220         COVAR   11740    -0.070536     -0.09181     0.033543      0.98225
x221         COVAR   11740    -0.003369   -0.0042603     0.040053      0.53352
x222         COVAR   11740    -0.044105    -0.057476     0.034431      0.89989
x223         COVAR   11740    -0.014094    -0.019061     0.028102      0.69199
x224         COVAR   11740      0.07438     0.094526     0.037338     0.023192
x225         COVAR   11740   -0.0094234    -0.011938     0.040492      0.59201
x226         COVAR   11740   -0.0077075   -0.0098781       0.0375      0.58142
x227         COVAR   11740     0.010783     0.013167     0.043199      0.40145
x228         COVAR   11740    -0.020635    -0.025787      0.04631      0.67205
x229         COVAR   11740     0.017197     0.021153     0.043565      0.34652
x230         COVAR   11740     0.032574     0.041977     0.034196      0.17041
x231         COVAR   11740    -0.077523    -0.097916     0.039569      0.97494
x232         COVAR   11740    -0.033445    -0.043004     0.040335      0.79649
x233         COVAR   11740     0.040175     0.050422     0.041343       0.1656
x234         COVAR   11740     -0.05041    -0.063278     0.041878      0.88564
x235         COVAR   11740     0.010978     0.013986     0.039146      0.38957
x236         COVAR   11740     -0.11397     -0.14694     0.043013      0.99597
x237         COVAR   11740    0.0088847        0.011     0.046483      0.42421
x238         COVAR   11740     0.010735     0.013187     0.039427      0.39271
x239         COVAR   11740     0.019286     0.024724     0.035466      0.29329
x240         COVAR   11740     -0.06771    -0.086036     0.039966      0.95487
x241         COVAR   11740     0.032181     0.041046     0.041701      0.22016
x242         COVAR   11740     0.037989     0.051283     0.024678     0.061869
x243         COVAR   11740    -0.032201    -0.040357     0.044159      0.76706
x244         COVAR   11740      0.10674      0.13532       0.0333   0.00067594
x245         COVAR   11740     0.086315      0.10785      0.04293     0.022196
x246         COVAR   11740    -0.046807     -0.05927     0.036561      0.89976
x247         COVAR   11740    0.0079082     0.010454     0.031789      0.40177
x248         COVAR   11740    -0.014512    -0.018863     0.039652      0.64281
x249         COVAR   11740     0.012679     0.016351     0.034839      0.35796
x250         COVAR   11740   -0.0088526    -0.011479     0.036987      0.59458
x251         COVAR   11740     -0.10658     -0.13694     0.039228       0.9967
x252         COVAR   11740      0.05145     0.070171     0.021668    0.0087944
x253         COVAR   11740   -0.0071714   -0.0094698     0.032757      0.58664
x254         COVAR   11740     0.044958     0.056956     0.036689      0.11023
x255         COVAR   11740    -0.021292    -0.025944      0.04614      0.67776
x256         COVAR   11740    -0.093735     -0.12076     0.039291      0.99147
x257         COVAR   11740    -0.067835    -0.090681     0.032397      0.98185
x258         COVAR   11740     0.021364     0.027071     0.034774      0.26949
x259         COVAR   11740     0.051414     0.070753     0.020566    0.0062184
x260         COVAR   11740     -0.11497       -0.148     0.041141       0.9974
x261         COVAR   11740      0.12457      0.15094     0.037096   0.00039397
x262         COVAR   11740    -0.049412       -0.064      0.03745      0.90647
x263         COVAR   11740   -0.0050081   -0.0064115     0.036202      0.55501
x264         COVAR   11740     0.037279     0.048845     0.026241     0.077725
x265         COVAR   11740    -0.017787    -0.022131     0.039123      0.67531
x266         COVAR   11740    -0.023383    -0.030291     0.034228      0.75273
x267         COVAR   11740     0.073256     0.091684     0.038116     0.027322
x268         COVAR   11740    -0.072875    -0.095446     0.037325      0.97454
x269         COVAR   11740    -0.048195    -0.061736      0.03199      0.93402
x270         COVAR   11740    -0.016812    -0.020877     0.043197      0.65143
x271         COVAR   11740     0.044434      0.05896     0.024668     0.035844
x272         COVAR   11740      0.03531      0.04479     0.030214      0.12128
x273         COVAR   11740    -0.014974    -0.018986     0.042357      0.63815
x274         COVAR   11740     0.021938       0.0272     0.044333      0.31036
x275         COVAR   11740    -0.090687      -0.1148     0.038547      0.99067
x276         COVAR   11740    -0.077025     -0.10091     0.034283      0.98766
x277         COVAR   11740     0.040266     0.051722     0.034963      0.12474
x278         COVAR   11740    0.0014963    0.0018673     0.039018      0.48471
x279         COVAR   11740     0.059708     0.078094     0.025804     0.010346
x280         COVAR   11740   -0.0039732   -0.0050354     0.037425      0.54227
x281         COVAR   11740     0.015829     0.020106     0.032471      0.31296
x282         COVAR   11740    -0.034288    -0.043854     0.034531      0.83962
x283         COVAR   11740     0.022035     0.027078     0.046888       0.3192
x284         COVAR   11740    0.0072435    0.0093574     0.032047      0.41059
x285         COVAR   11740     0.013794     0.017346     0.036943      0.35444
x286         COVAR   11740   -0.0085736    -0.010736     0.040102      0.58465
x287         COVAR   11740      0.04125     0.053007     0.038368      0.14117
x288         COVAR   11740     0.052595     0.065854     0.041723      0.10375
x289         COVAR   11740     0.012138     0.015271     0.037903       0.3744
x290         COVAR   11740    -0.032903    -0.044567     0.029552      0.86722
x291         COVAR   11740    -0.022039    -0.027135     0.043921      0.69209
x292         COVAR   11740     0.018702     0.024741     0.027638      0.24931
x293         COVAR   11740    -0.019812     -0.02604     0.031174      0.73745
x294         COVAR   11740     0.053785     0.067584     0.039889     0.088785
x295         COVAR   11740    -0.044159    -0.056905     0.039553      0.86787
x296         COVAR   11740    -0.016108    -0.020475     0.037692      0.66544
x297         COVAR   11740     0.021381     0.026216     0.037147      0.28246
x298         COVAR   11740     -0.13633     -0.18069     0.038119      0.99983
x299         COVAR   11740     0.026311      0.03298      0.03566      0.23032
x300         COVAR   11740    -0.033777    -0.043674     0.033821      0.84102
x301         COVAR   11740     0.047202     0.061993      0.02485     0.028765
x302         COVAR   11740    0.0061834    0.0077738     0.042336      0.44194
x303         COVAR   11740   -0.0028157   -0.0037765     0.030919      0.53628
x304         COVAR   11740      0.12143      0.15401     0.034048   0.00018174
x305         COVAR   11740   -0.0073572   -0.0091176     0.040511      0.57205
x306         COVAR   11740    -0.012949    -0.016172     0.036053      0.64026
x307         COVAR   11740    -0.033464    -0.041747     0.039191      0.80341
x308         COVAR   11740      0.10358      0.13064     0.031414   0.00048979
x309         COVAR   11740    -0.012545    -0.015565     0.036634      0.63398
x310         COVAR   11740    -0.010113    -0.013076     0.036728      0.60848
x311         COVAR   11740     -0.06222    -0.077622     0.042032      0.93059
x312         COVAR   11740      0.02692     0.034938     0.031732      0.19813
x313         COVAR   11740    -0.026707    -0.033249      0.04683      0.71575
x314         COVAR   11740     0.027404     0.035365     0.027479      0.15934
x315         COVAR   11740    0.0088626     0.011145      0.03444      0.39846
x316         COVAR   11740     0.040631     0.052262      0.03479      0.12143
x317         COVAR   11740    -0.030284    -0.037684     0.041602      0.76667
x318         COVAR   11740     0.034602     0.045418     0.030048      0.12476
x319         COVAR   11740      -0.0335     -0.04157     0.041769      0.78873
x320         COVAR   11740     0.049807     0.065127     0.025742     0.026517
x321         COVAR   11740      0.08119      0.10395     0.028796    0.0024096
x322         COVAR   11740    -0.089205     -0.12136     0.028667      0.99907
x323         COVAR   11740     -0.10576     -0.13441     0.044229      0.99159
x324         COVAR   11740      0.10353      0.12757     0.045888      0.01204
x325         COVAR   11740     0.050679     0.062944     0.042067      0.11417
x326         COVAR   11740     0.040486     0.050847     0.042994      0.17319
x327         COVAR   11740     0.018386     0.022932     0.036197      0.30575
x328         COVAR   11740    -0.025839    -0.032118     0.038543      0.74869
x329         COVAR   11740     0.033138     0.042349     0.031488      0.14632
x330         COVAR   11740      -0.1053     -0.13475     0.042712      0.99315
x331         COVAR   11740     0.036235     0.050203     0.020871     0.041281
x332         COVAR   11740     0.023246     0.028515     0.042722      0.29318
x333         COVAR   11740     0.054805     0.067696     0.040694     0.089044
x334         COVAR   11740    -0.010463    -0.012972     0.047346      0.58745
x335         COVAR   11740     -0.11554     -0.14601     0.043707      0.99589
x336         COVAR   11740    -0.027593    -0.035705     0.033722      0.79338
x337         COVAR   11740    -0.049391    -0.062122     0.041591      0.88248
x338         COVAR   11740    -0.037216    -0.049252     0.032014      0.87747
x339         COVAR   11740    -0.013221    -0.017895     0.027297      0.68592
x340         COVAR   11740     -0.02092    -0.026867     0.037385      0.71212
x341         COVAR   11740    0.0034192    0.0044162     0.032041      0.45751
x342         COVAR   11740     0.022142      0.02864     0.031037      0.23781
x343         COVAR   11740    -0.053758    -0.067985     0.037964       0.9216
