# TOTAL_GENES = 11740
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x344         COVAR   11740    -0.074725     -0.09436     0.037263      0.97753
x345         COVAR   11740    -0.079031     -0.10133     0.039854       0.9763
x346         COVAR   11740      0.12203      0.14741     0.043079    0.0023124
x347         COVAR   11740    -0.093675     -0.11742     0.042282      0.98663
x348         COVAR   11740    -0.032425    -0.042015     0.032456      0.84111
x349         COVAR   11740     0.046576     0.061317     0.024853     0.030474
x350         COVAR   11740    -0.046326    -0.057114     0.045035      0.84817
x351         COVAR   11740   0.00013326   0.00017237      0.03347      0.49841
x352         COVAR   11740     0.016308     0.021619      0.02914      0.28787
x353         COVAR   11740     -0.07572    -0.097996     0.036413       0.9812
x354         COVAR   11740    -0.040139    -0.051991     0.036985      0.86109
x355         COVAR   11740     0.023967     0.029234     0.048385      0.31019
x356         COVAR   11740     0.067313      0.08108     0.041558     0.052659
x357         COVAR   11740     0.044853     0.057438      0.03438     0.096025
x358         COVAR   11740     0.042457     0.053908      0.03839      0.13439
x359         COVAR   11740    -0.080066      -0.1036     0.041272      0.97379
x360         COVAR   11740       0.0369     0.047339     0.035125      0.14675
x361         COVAR   11740   -0.0080399    -0.010532     0.032265      0.59839
x362         COVAR   11740   -0.0044213   -0.0056994     0.035972      0.54891
x363         COVAR   11740     0.041317     0.055121      0.02917      0.07834
x364         COVAR   11740     -0.05503    -0.068887     0.045725       0.8856
x365         COVAR   11740   -0.0060043   -0.0080176     0.025949      0.59149
x366         COVAR   11740   -0.0019793   -0.0025534     0.034761       0.5227
x367         COVAR   11740   -0.0027887   -0.0035841     0.035345      0.53144
x368         COVAR   11740     0.024649     0.033002     0.026543      0.17655
x369         COVAR   11740   -0.0081699    -0.010082      0.04337      0.57471
x370         COVAR   11740     0.089406      0.11193     0.032451    0.0029387
x371         COVAR   11740     0.029438     0.036511     0.044896      0.25602
x372         COVAR   11740    -0.049456    -0.063562     0.034727      0.92278
x373         COVAR   11740    -0.033795    -0.042855     0.039597      0.80329
x374         COVAR   11740    -0.069692     -0.08744     0.039406       0.9615
x375         COVAR   11740  -0.00096131   -0.0012086     0.032614      0.51176
x376         COVAR   11740    -0.066691      -0.0846     0.041022      0.94798
x377         COVAR   11740   -0.0017944   -0.0023123     0.033803      0.52117
x378         COVAR   11740      0.00278    0.0035803     0.035613      0.46889
x379         COVAR   11740   0.00055458   0.00073936     0.029188      0.49242
x380         COVAR   11740    -0.021249       -0.028     0.036744      0.71846
x381         COVAR   11740     0.044439     0.056315     0.031873     0.081633
x382         COVAR   11740     0.066974     0.083501     0.045511     0.070582
x383         COVAR   11740     0.022328     0.029734     0.023756      0.17365
x384         COVAR   11740    -0.007855   -0.0097386     0.044351      0.57029
x385         COVAR   11740   -0.0029091   -0.0035808     0.042487      0.52729
x386         COVAR   11740     0.013929     0.017581     0.037008      0.35333
x387         COVAR   11740     0.039897     0.050711     0.033796      0.11891
x388         COVAR   11740     0.024339     0.031105     0.040035      0.27162
x389         COVAR   11740     0.035925     0.045155     0.033194      0.13958
x390         COVAR   11740     0.097137      0.12231     0.031684    0.0010881
x391         COVAR   11740     0.029698     0.038984     0.030096      0.16188
x392         COVAR   11740     0.036601     0.044097     0.041476      0.18877
x393         COVAR   11740     0.018145     0.025155     0.021062      0.19449
x394         COVAR   11740    -0.019122    -0.024297     0.041241      0.67855
x395         COVAR   11740     0.017639     0.021362      0.04639      0.35189
x396         COVAR   11740      0.12264      0.14838     0.036744   0.00042392
x397         COVAR   11740     0.084472      0.10478     0.042299     0.022924
x398         COVAR   11740    -0.030771    -0.039896     0.036301      0.80167
x399         COVAR   11740      -0.0407    -0.053093     0.032346      0.89584
x400         COVAR   11740    -0.040348    -0.050652     0.039554      0.84614
x401         COVAR   11740     -0.02813    -0.037368     0.034777      0.79069
x402         COVAR   11740     0.020704     0.027673     0.028557      0.23424
x403         COVAR   11740     0.027955     0.034879     0.042993      0.25778
x404         COVAR   11740    -0.046304    -0.058736     0.041561      0.86737
x405         COVAR   11740   -0.0034481    -0.004463     0.034451      0.53986
x406         COVAR   11740     0.061639     0.074948     0.039152     0.057715
x407         COVAR   11740    -0.023249    -0.030297     0.032788      0.76085
x408         COVAR   11740     -0.11593     -0.14646     0.043177      0.99637
x409         COVAR   11740  -0.00058701  -0.00073142     0.037999      0.50616
x410         COVAR   11740    -0.014896    -0.020571     0.028189       0.7014
x411         COVAR   11740    0.0045674    0.0062554     0.027332      0.43364
x412         COVAR   11740    -0.062503    -0.081573     0.039011      0.94543
x413         COVAR   11740    -0.045879    -0.059565     0.036283      0.89696
x414         COVAR   11740   -0.0095113    -0.012287     0.033581       0.6115
x415         COVAR   11740    -0.048721    -0.062856     0.037146      0.90516
x416         COVAR   11740     0.085794      0.10825     0.038195     0.012355
x417         COVAR   11740     0.044906     0.058703     0.031277     0.075549
x418         COVAR   11740     0.078505      0.09775     0.034186     0.010836
x419         COVAR   11740    -0.010829    -0.013975     0.034369      0.62365
x420         COVAR   11740      0.05009     0.063869     0.031435     0.055547
x421         COVAR   11740     0.069801     0.087028      0.04186     0.047723
x422         COVAR   11740   -0.0067942   -0.0089912     0.033558      0.58022
